Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Year,Item_Type_New,Outlet,Item
NCN14,19.1,0,0.092437711,11,185.2608,OUT017,2007,2,1,1,1470.0864,6,Non-Consumable,2,2
NCB06,17.6,0,0.137807013,8,161.792,OUT010,1998,2,2,0,159.792,15,Non-Consumable,0,2
DRL01,19.5,1,0.077292302,14,235.3958,OUT049,1999,1,0,1,6309.7866,14,Drinks,9,0
FDU10,10.1,1,0.045763062,13,38.4848,OUT049,1999,1,0,1,633.8416,14,Food,9,1
NCS38,8.6,0,0.090558833,9,112.6176,OUT018,2009,1,2,2,3091.9752,4,Non-Consumable,3,2
FDQ16,19.7,0,0.041703666,5,109.1912,OUT013,1987,0,2,1,1637.868,26,Food,1,1
FDS40,15.35,0,0.014098693,5,37.219,OUT017,2007,2,1,1,805.618,6,Food,2,1
FDE36,5.26,1,0.042008667,0,162.6868,OUT017,2007,2,1,1,3767.0964,6,Food,2,1
FDV31,9.8,0,0.106933748,6,175.337,OUT045,2002,2,1,1,529.311,11,Food,7,1
NCD42,16.5,0,0.012663476,8,39.3506,OUT045,2002,2,1,1,645.1602,11,Non-Consumable,7,2
FDT20,10.5,0,0.041387618,6,40.1164,OUT035,2004,2,1,1,849.5608,9,Food,6,1
NCN19,13.1,0,0.012148836,11,191.353,OUT018,2009,1,2,2,1328.271,4,Non-Consumable,3,2
FDW21,5.34,1,0.005935001,13,98.8358,OUT027,1985,1,2,3,2010.716,28,Food,5,1
FDF34,9.3,1,0.014047825,13,196.5084,OUT045,2002,2,1,1,4364.9848,11,Food,7,1
FDI28,14.3,0,0.026375082,5,79.6302,OUT045,2002,2,1,1,792.302,11,Food,7,1
FDG44,6.13,0,0.121512963,6,55.7298,OUT027,1985,1,2,3,2804.3496,28,Food,5,1
DRF60,10.8,0,0.052174319,14,240.3564,OUT045,2002,2,1,1,4290.4152,11,Drinks,7,0
FDQ36,7.855,1,0.161971459,0,38.1848,OUT019,1985,2,0,0,37.2848,28,Food,4,1
FDP34,12.85,0,0.137786856,13,157.763,OUT018,2009,1,2,2,2659.871,4,Food,3,1
FDA20,6.78,0,0.066608487,6,184.624,OUT035,2004,2,1,1,5406.296,9,Food,6,1
FDE41,9.195,1,0.064002068,5,85.5566,OUT035,2004,2,1,1,930.1226,9,Food,6,1
DRK47,7.905,0,0.06406438,7,229.2694,OUT046,1997,2,0,1,1826.9552,16,Drinks,8,0
FDY10,17.6,0,0.049345425,13,115.4176,OUT017,2007,2,1,1,1145.176,6,Food,2,1
FDI02,15.7,1,0.11521312,3,112.0202,OUT017,2007,2,1,1,3150.5656,6,Food,2,1
FDE41,9.195,1,0.064130039,5,83.7566,OUT019,1985,2,0,0,253.6698,28,Food,4,1
FDZ52,19.2,0,0.099991245,5,112.7886,OUT013,1987,0,2,1,1779.0176,26,Food,1,1
FDG50,7.405,0,0.015334003,3,92.7146,OUT018,2009,1,2,2,1185.7898,4,Food,3,1
DRL01,19.5,1,0.129170642,14,233.9958,OUT010,1998,2,2,0,467.3916,15,Drinks,0,0
FDV48,9.195,1,0.051908824,0,78.1644,OUT017,2007,2,1,1,1414.1592,6,Food,2,1
FDR48,11.65,0,0.131770922,0,151.1024,OUT045,2002,2,1,1,1518.024,11,Food,7,1
NCD54,21.1,0,0.028984804,9,146.1786,OUT013,1987,0,2,1,3034.0506,26,Non-Consumable,1,2
NCT54,8.695,0,0.120211747,9,93.2094,OUT017,2007,2,1,1,666.4658,6,Non-Consumable,2,2
FDH02,7.27,1,0.02076385,3,89.0488,OUT013,1987,0,2,1,181.0976,26,Food,1,1
NCD43,8.85,0,0.016006626,9,105.6964,OUT013,1987,0,2,1,210.3928,26,Non-Consumable,1,2
FDE46,18.6,0,0.015766712,13,152.9366,OUT035,2004,2,1,1,1662.5026,9,Food,6,1
NCO42,21.25,0,0.024536199,9,144.6102,OUT027,1985,1,2,3,3791.0652,28,Non-Consumable,5,2
FDR40,9.1,1,0.008046878,5,78.7618,OUT049,1999,1,0,1,402.809,14,Food,9,1
FDG24,7.975,0,0.014653896,0,82.425,OUT049,1999,1,0,1,749.025,14,Food,9,1
NCO17,10,0,0.073794811,8,121.444,OUT017,2007,2,1,1,2516.724,6,Non-Consumable,2,2
FDF22,6.865,0,0.056830682,13,214.0218,OUT046,1997,2,0,1,5556.7668,16,Food,8,1
FDC59,16.7,1,0.054618573,15,65.5168,OUT035,2004,2,1,1,1022.6688,9,Food,6,1
NCY18,7.285,0,0.052141447,9,174.9054,OUT010,1998,2,2,0,525.3162,15,Non-Consumable,0,2
DRE48,8.43,0,0.017360867,14,196.2768,OUT045,2002,2,1,1,1576.6144,11,Drinks,7,0
FDV60,20.2,1,0.196438668,0,194.611,OUT010,1998,2,2,0,392.822,15,Food,0,1
FDB56,8.75,1,0.074743226,6,187.6556,OUT049,1999,1,0,1,5257.1568,14,Food,9,1
FDL20,17.1,0,0.127792701,6,111.1886,OUT027,1985,1,2,3,4447.544,28,Food,5,1
NCZ53,9.6,0,0.024358634,8,190.4214,OUT027,1985,1,2,3,5652.642,28,Non-Consumable,5,2
DRM35,9.695,0,0.070431235,7,177.5344,OUT035,2004,2,1,1,3033.3848,9,Drinks,6,0
FDV16,7.75,1,0.082930699,5,35.2558,OUT046,1997,2,0,1,780.9834,16,Food,8,1
FDY19,19.75,0,0.041330512,6,115.8466,OUT013,1987,0,2,1,2474.7786,26,Food,1,1
FDY12,9.8,1,0.235354055,0,50.8008,OUT010,1998,2,2,0,101.2016,15,Food,0,1
FDM15,11.8,1,0.057746382,10,152.4366,OUT017,2007,2,1,1,3929.5516,6,Food,2,1
FDP12,9.8,1,0.045337184,0,36.8874,OUT049,1999,1,0,1,564.5984,14,Food,9,1
FDT21,7.42,0,0.020374875,13,248.0092,OUT013,1987,0,2,1,1245.046,26,Food,1,1
DRE49,20.75,0,0.035568147,14,151.8024,OUT010,1998,2,2,0,151.8024,15,Drinks,0,0
FDN16,12.6,1,0.062797771,5,103.999,OUT049,1999,1,0,1,825.592,14,Food,9,1
FDE04,19.75,1,0.018096488,5,179.566,OUT018,2009,1,2,2,2696.49,4,Food,3,1
FDC51,10.895,1,0.009613854,4,122.973,OUT013,1987,0,2,1,1231.73,26,Food,1,1
FDO04,16.6,0,0.026645307,5,53.5614,OUT018,2009,1,2,2,939.4438,4,Food,3,1
FDD41,6.765,1,0.087753682,5,105.3306,OUT017,2007,2,1,1,2090.612,6,Food,2,1
FDI45,13.1,0,0.037657459,6,175.8054,OUT045,2002,2,1,1,2801.6864,11,Food,7,1
NCB18,19.6,0,0.041091215,9,89.5514,OUT027,1985,1,2,3,3364.9532,28,Non-Consumable,5,2
FDW51,6.155,1,0.095195306,10,213.956,OUT017,2007,2,1,1,2343.616,6,Food,2,1
NCK07,10.65,0,0.048686689,11,164.1526,OUT046,1997,2,0,1,1808.9786,16,Non-Consumable,8,2
FDZ45,14.1,0,0.117091213,13,197.9084,OUT019,1985,2,0,0,992.042,28,Food,4,1
FDB37,20.25,1,0.022940826,0,241.8538,OUT046,1997,2,0,1,5768.4912,16,Food,8,1
FDZ60,20.5,0,0.119339241,0,106.0596,OUT035,2004,2,1,1,970.7364,9,Food,6,1
FDN04,11.8,1,0.014075334,5,176.8344,OUT013,1987,0,2,1,3568.688,26,Food,1,1
FDW47,15,0,0.046336634,1,120.0414,OUT013,1987,0,2,1,3533.4006,26,Food,1,1
FDB17,13.15,0,0.036641589,5,180.7976,OUT013,1987,0,2,1,6157.3184,26,Food,1,1
FDR56,15.5,1,0.101176316,6,198.9768,OUT018,2009,1,2,2,4729.8432,4,Food,3,1
FDU55,16.2,0,0.035737373,6,260.6278,OUT027,1985,1,2,3,9371.8008,28,Food,5,1
FDH40,11.6,1,0.079376029,5,81.7276,OUT017,2007,2,1,1,1949.4624,6,Food,2,1
FDH05,14.35,1,0.091054989,5,231.8984,OUT049,1999,1,0,1,4633.968,14,Food,9,1
FDX58,13.15,0,0.043852434,13,182.695,OUT045,2002,2,1,1,4211.185,11,Food,7,1
FDC51,10.895,1,0.009620042,4,121.673,OUT035,2004,2,1,1,1970.768,9,Food,6,1
NCR05,10.1,0,0.054939848,8,199.5084,OUT017,2007,2,1,1,3372.9428,6,Non-Consumable,2,2
DRH25,18.7,0,0.014675574,14,50.8324,OUT017,2007,2,1,1,934.7832,6,Drinks,2,0
NCR53,12.15,0,0.14526636,8,224.0404,OUT049,1999,1,0,1,3375.606,14,Non-Consumable,9,2
FDS04,10.195,1,0.146662938,5,138.6838,OUT046,1997,2,0,1,2388.2246,16,Food,8,1
FDC03,8.575,1,0.071786706,4,193.3794,OUT013,1987,0,2,1,780.3176,26,Food,1,1
FDP44,16.5,1,0.133424184,6,102.2332,OUT010,1998,2,2,0,102.5332,15,Food,0,1
FDK16,9.065,0,0.115799592,5,95.3094,OUT018,2009,1,2,2,1713.7692,4,Food,3,1
NCC30,16.6,0,0.027579198,9,178.7344,OUT046,1997,2,0,1,1605.9096,16,Non-Consumable,8,2
FDZ26,11.6,1,0.241055611,4,238.5222,OUT010,1998,2,2,0,717.0666,15,Food,0,1
NCO54,19.5,0,0.014332439,9,57.1614,OUT018,2009,1,2,2,1381.535,4,Non-Consumable,3,2
NCP41,16.6,0,0.027133398,8,106.2596,OUT010,1998,2,2,0,215.7192,15,Non-Consumable,0,2
DRE27,11.85,0,0.132876847,4,98.0726,OUT049,1999,1,0,1,1076.5986,14,Drinks,9,0
FDQ10,12.85,0,0.03315162,13,170.6422,OUT013,1987,0,2,1,2931.5174,26,Food,1,1
NCU42,9,0,0.019536981,9,170.0474,OUT049,1999,1,0,1,4211.185,14,Non-Consumable,9,2
FDX43,5.655,0,0.085258864,6,165.85,OUT035,2004,2,1,1,1830.95,9,Food,6,1
NCD19,8.93,0,0.013179388,9,55.1614,OUT046,1997,2,0,1,939.4438,16,Non-Consumable,8,2
NCI54,15.2,0,0.033592687,9,108.1912,OUT035,2004,2,1,1,1856.2504,9,Non-Consumable,6,2
FDS37,7.655,0,0.05346916,3,114.1492,OUT010,1998,2,2,0,115.8492,15,Food,0,1
FDO25,6.3,0,0.126831854,3,209.027,OUT027,1985,1,2,3,4613.994,28,Food,5,1
FDS57,15.5,0,0.103603094,13,143.547,OUT049,1999,1,0,1,1431.47,14,Food,9,1
FDI52,18.7,0,0.104840884,5,122.1072,OUT049,1999,1,0,1,490.0288,14,Food,9,1
DRK12,9.5,0,0.042056944,14,31.89,OUT018,2009,1,2,2,366.19,4,Drinks,3,0
FDG40,13.65,0,0.040049609,5,34.4558,OUT017,2007,2,1,1,611.2044,6,Food,2,1
FDU49,19.5,1,0.03075661,3,86.254,OUT045,2002,2,1,1,2163.85,11,Food,7,1
FDR49,8.71,0,0.162816471,3,46.5376,OUT013,1987,0,2,1,575.2512,26,Food,1,1
FDF40,20.25,1,0.03941584,4,247.8092,OUT019,1985,2,0,0,498.0184,28,Food,4,1
DRE03,19.6,0,0.024363939,4,46.3718,OUT017,2007,2,1,1,661.8052,6,Drinks,2,0
FDR55,12.15,1,0.131443921,6,189.1872,OUT027,1985,1,2,3,5294.4416,28,Food,5,1
NCU05,11.8,0,0.058725131,8,82.3618,OUT035,2004,2,1,1,1208.427,9,Non-Consumable,6,2
FDR36,6.715,1,0.122274118,0,40.3454,OUT017,2007,2,1,1,838.908,6,Food,2,1
NCM30,19.1,0,0.067239404,9,39.6796,OUT013,1987,0,2,1,660.4736,26,Non-Consumable,1,2
FDH24,20.7,0,0.021464454,0,156.6288,OUT049,1999,1,0,1,3928.22,14,Food,9,1
DRO47,10.195,0,0.112681821,7,113.986,OUT018,2009,1,2,2,452.744,4,Drinks,3,0
FDQ49,20.2,1,0.039469737,2,155.163,OUT017,2007,2,1,1,782.315,6,Food,2,1
DRJ37,10.8,0,0.061101383,14,151.9024,OUT046,1997,2,0,1,2580.6408,16,Drinks,8,0
NCJ42,19.75,0,0.014359584,9,100.8332,OUT018,2009,1,2,2,1537.998,4,Non-Consumable,3,2
FDD05,19.35,0,0.016637301,5,120.9098,OUT049,1999,1,0,1,1687.1372,14,Food,9,1
FDC39,7.405,0,0.159843921,4,206.6296,OUT018,2009,1,2,2,3115.944,4,Food,3,1
NCY06,15.25,0,0.061308889,9,128.8968,OUT045,2002,2,1,1,2348.9424,11,Non-Consumable,7,2
NCS06,7.935,0,0.055566935,9,263.591,OUT019,1985,2,0,0,262.991,28,Non-Consumable,4,2
FDE16,8.895,0,0.026397141,5,207.8954,OUT045,2002,2,1,1,3542.7218,11,Food,7,1
NCQ50,18.75,0,0.034307348,9,215.2218,OUT046,1997,2,0,1,4701.8796,16,Non-Consumable,8,2
FDX50,20.1,0,0.074627201,4,110.3228,OUT046,1997,2,0,1,1768.3648,16,Food,8,1
NCL41,12.35,0,0.041973712,8,35.7216,OUT017,2007,2,1,1,519.324,6,Non-Consumable,2,2
FDM58,16.85,1,0.080015028,13,111.8544,OUT018,2009,1,2,2,1677.816,4,Food,3,1
FDH35,18.25,0,0.10084386,15,166.3526,OUT010,1998,2,2,0,164.4526,15,Food,0,1
FDS50,17,0,0.055519561,4,219.8114,OUT049,1999,1,0,1,1108.557,14,Food,9,1
FDT09,15.15,1,0.012203915,13,133.2284,OUT027,1985,1,2,3,4350.3372,28,Food,5,1
FDR60,14.3,0,0.130946374,0,76.7328,OUT018,2009,1,2,2,1312.9576,4,Food,3,1
FDG22,17.6,1,0.041381156,13,35.019,OUT046,1997,2,0,1,659.142,16,Food,8,1
FDL52,6.635,1,0.04586701,5,37.9506,OUT027,1985,1,2,3,910.8144,28,Food,5,1
DRJ39,20.25,0,0.036474041,4,218.3482,OUT018,2009,1,2,2,2409.5302,4,Drinks,3,0
FDW45,18,0,0.039231652,13,145.1418,OUT017,2007,2,1,1,2648.5524,6,Food,2,1
NCQ38,16.35,0,0.013393537,11,106.028,OUT045,2002,2,1,1,1065.28,11,Non-Consumable,7,2
FDB26,14,1,0.031444357,3,53.764,OUT017,2007,2,1,1,798.96,6,Food,2,1
DRG48,5.78,0,0.014555066,14,145.2102,OUT046,1997,2,0,1,3062.0142,16,Drinks,8,0
FDH10,21,0,0.082526478,13,191.8478,OUT010,1998,2,2,0,774.9912,15,Food,0,1
FDP28,13.65,1,0.080765853,5,262.8936,OUT049,1999,1,0,1,4958.8784,14,Food,9,1
FDJ44,12.3,1,0.17797002,6,173.1396,OUT010,1998,2,2,0,697.7584,15,Food,0,1
FDI07,12.35,1,0.03382933,10,196.9426,OUT045,2002,2,1,1,2768.3964,11,Food,7,1
DRJ24,11.8,0,0.11397026,14,185.1924,OUT017,2007,2,1,1,2591.2936,6,Drinks,2,0
DRL47,19.7,0,0.038729457,7,127.3362,OUT035,2004,2,1,1,755.0172,9,Drinks,6,0
FDP38,10.1,0,0.032075379,3,50.9008,OUT013,1987,0,2,1,354.2056,26,Food,1,1
FDK02,12.5,0,0.196490902,3,120.544,OUT019,1985,2,0,0,479.376,28,Food,4,1
FDO23,17.85,0,0.146305498,1,94.1436,OUT013,1987,0,2,1,1607.2412,26,Food,1,1
NCE54,20.7,0,0.026877471,9,74.6354,OUT013,1987,0,2,1,1053.2956,26,Non-Consumable,1,2
FDS52,8.89,0,0.005474515,5,99.7016,OUT046,1997,2,0,1,1922.8304,16,Food,8,1
FDW01,14.5,0,0.064048405,3,153.4682,OUT035,2004,2,1,1,1677.1502,9,Food,6,1
NCF07,9,0,0.032203667,9,100.8016,OUT017,2007,2,1,1,1113.2176,6,Non-Consumable,2,2
DRE15,13.35,0,0.017857847,4,77.5012,OUT018,2009,1,2,2,1518.024,4,Drinks,3,0
FDR58,6.675,0,0.041921462,13,92.3462,OUT046,1997,2,0,1,2406.2012,16,Food,8,1
FDL24,10.3,1,0.024875871,0,173.0422,OUT013,1987,0,2,1,2069.3064,26,Food,1,1
FDQ25,8.63,1,0.028139761,3,173.7422,OUT027,1985,1,2,3,3621.2862,28,Food,5,1
FDX56,17.1,1,0.073997843,6,207.0638,OUT013,1987,0,2,1,4969.5312,26,Food,1,1
FDD20,14.15,0,0.020798905,6,123.6046,OUT018,2009,1,2,2,1245.046,4,Food,3,1
DRF60,10.8,0,0.052363244,14,236.5564,OUT017,2007,2,1,1,5243.8408,6,Drinks,2,0
FDW13,8.5,0,0.098283459,3,51.3324,OUT018,2009,1,2,2,934.7832,4,Food,3,1
FDF09,6.215,0,0.012138795,6,39.2848,OUT013,1987,0,2,1,521.9872,26,Food,1,1
FDY45,17.5,0,0.0261864,13,253.0356,OUT035,2004,2,1,1,4578.0408,9,Food,6,1
FDR26,20.7,0,0.042923652,4,178.3028,OUT045,2002,2,1,1,1062.6168,11,Food,7,1
FDZ01,8.975,1,0.009058845,3,103.399,OUT046,1997,2,0,1,2579.975,16,Food,8,1
FDH53,20.5,1,0.032136417,5,83.9592,OUT010,1998,2,2,0,165.1184,15,Food,0,1
FDG52,13.65,0,0.065898197,5,46.1402,OUT018,2009,1,2,2,459.402,4,Food,3,1
FDW50,13.1,0,0.075731322,4,167.5158,OUT045,2002,2,1,1,1504.0422,11,Food,7,1
FDX49,4.615,1,0.101812521,3,232.23,OUT035,2004,2,1,1,5126.66,9,Food,6,1
FDJ44,12.3,1,0.106327251,6,172.8396,OUT046,1997,2,0,1,2616.594,16,Food,8,1
NCI31,20,0,0.080933328,11,37.519,OUT027,1985,1,2,3,842.237,28,Non-Consumable,5,2
FDZ52,19.2,0,0.100055601,5,112.4886,OUT035,2004,2,1,1,1223.0746,9,Food,6,1
FDE17,20.1,1,0.054540159,5,152.1366,OUT049,1999,1,0,1,755.683,14,Food,9,1
FDG34,11.5,1,0.037723476,13,109.5254,OUT018,2009,1,2,2,1953.4572,4,Food,3,1
FDE26,9.3,0,0.14897741,3,143.0786,OUT010,1998,2,2,0,288.9572,15,Food,0,1
FDD56,15.2,1,0.104201019,6,176.5054,OUT018,2009,1,2,2,2976.7918,4,Food,3,1
FDR52,12.65,1,0.076198809,5,191.3846,OUT045,2002,2,1,1,2675.1844,11,Food,7,1
FDQ13,11.1,0,0.010639596,3,84.1908,OUT035,2004,2,1,1,755.0172,9,Food,6,1
NCJ42,19.75,0,0.025039776,9,102.7332,OUT019,1985,2,0,0,410.1328,28,Non-Consumable,4,2
FDH10,21,0,0.086326707,13,192.6478,OUT019,1985,2,0,0,387.4956,28,Food,4,1
NCG42,19.2,0,0.041220035,9,131.231,OUT035,2004,2,1,1,3635.268,9,Non-Consumable,6,2
FDT31,19.75,0,0.01247354,6,187.5872,OUT045,2002,2,1,1,1323.6104,11,Food,7,1
DRD25,6.135,0,0.079132212,14,112.686,OUT045,2002,2,1,1,2942.836,11,Drinks,7,0
FDR35,12.5,0,0.020693809,1,199.1742,OUT035,2004,2,1,1,4379.6324,9,Food,6,1
FDL33,7.235,0,0.10016525,13,193.9452,OUT045,2002,2,1,1,2936.178,11,Food,7,1
FDT45,15.85,0,0.057302606,13,53.3956,OUT035,2004,2,1,1,600.5516,9,Food,6,1
FDT16,9.895,1,0.048761046,5,260.5278,OUT045,2002,2,1,1,8851.1452,11,Food,7,1
DRE49,20.75,0,0.023333339,14,153.0024,OUT035,2004,2,1,1,2428.8384,9,Drinks,6,0
DRF60,10.8,0,0.052149675,14,239.9564,OUT049,1999,1,0,1,3813.7024,14,Drinks,9,0
NCB54,8.76,0,0.050130529,8,128.3336,OUT049,1999,1,0,1,2556.672,14,Non-Consumable,9,2
FDH20,16.1,1,0.024987903,6,97.341,OUT049,1999,1,0,1,1255.033,14,Food,9,1
FDA31,7.1,0,0.109990885,6,172.908,OUT035,2004,2,1,1,2769.728,9,Food,6,1
FDE33,19.35,1,0.049736267,6,76.8644,OUT045,2002,2,1,1,1571.288,11,Food,7,1
FDM12,16.7,1,0.117026714,0,189.2214,OUT010,1998,2,2,0,188.4214,15,Food,0,1
FDW44,9.5,1,0.035121963,6,168.6448,OUT013,1987,0,2,1,1022.6688,26,Food,1,1
DRE48,8.43,0,0.017311312,14,197.8768,OUT013,1987,0,2,1,3744.4592,26,Drinks,1,0
NCX18,14.15,0,0.008811818,9,196.511,OUT045,2002,2,1,1,2749.754,11,Non-Consumable,7,2
FDA38,5.44,0,0.025583714,4,239.1538,OUT018,2009,1,2,2,480.7076,4,Food,3,1
FDQ19,7.35,1,0.014353174,6,242.6512,OUT013,1987,0,2,1,969.4048,26,Food,1,1
FDY47,8.6,1,0.054220618,1,129.131,OUT027,1985,1,2,3,4933.578,28,Food,5,1
FDE17,20.1,1,0.054410179,5,151.3366,OUT013,1987,0,2,1,2720.4588,26,Food,1,1
FDY25,12,0,0.033974436,3,181.8976,OUT046,1997,2,0,1,4527.44,16,Food,8,1
FDT03,21.25,0,0.009996872,10,185.5608,OUT035,2004,2,1,1,3123.9336,9,Food,6,1
FDB49,8.3,1,0.030212499,0,98.0384,OUT045,2002,2,1,1,2857.6136,11,Food,7,1
FDL43,10.1,0,0.027217468,10,76.067,OUT017,2007,2,1,1,1454.773,6,Food,2,1
FDE47,14.15,0,0.038123176,15,123.5046,OUT017,2007,2,1,1,1992.0736,6,Food,2,1
FDS49,9,0,0.079506434,3,78.3644,OUT045,2002,2,1,1,1728.4168,11,Food,7,1
FDU23,12.15,0,0.021811987,1,163.6184,OUT018,2009,1,2,2,2311.6576,4,Food,3,1
FDU38,10.8,0,0.082150145,4,192.9504,OUT027,1985,1,2,3,7478.2656,28,Food,5,1
FDV09,12.1,0,0.036012919,13,148.0734,OUT019,1985,2,0,0,593.8936,28,Food,4,1
FDR20,20,1,0.028167478,6,45.5744,OUT049,1999,1,0,1,452.744,14,Food,9,1
FDY11,6.71,1,0.029560451,0,65.8142,OUT046,1997,2,0,1,856.8846,16,Food,8,1
FDG40,13.65,0,0.039631495,5,31.9558,OUT027,1985,1,2,3,984.7182,28,Food,5,1
FDX20,7.365,0,0.04280099,6,228.372,OUT017,2007,2,1,1,2037.348,6,Food,2,1
FDZ27,7.935,0,0.017141985,4,50.035,OUT013,1987,0,2,1,149.805,26,Food,1,1
FDH09,12.6,0,0.056394771,12,51.3982,OUT017,2007,2,1,1,473.3838,6,Food,2,1
FDG29,17.6,0,0.056379439,5,42.7454,OUT049,1999,1,0,1,293.6178,14,Food,9,1
NCA30,19,0,0.129534812,9,190.1872,OUT049,1999,1,0,1,5105.3544,14,Non-Consumable,9,2
NCL53,7.5,0,0.036439878,8,175.3028,OUT017,2007,2,1,1,3010.7476,6,Non-Consumable,2,2
DRE15,13.35,0,0.021129629,4,77.6012,OUT046,1997,2,0,1,986.7156,16,Drinks,8,0
NCS38,8.6,0,0.090191431,9,112.9176,OUT046,1997,2,0,1,458.0704,16,Non-Consumable,8,2
FDY21,15.1,0,0.30374337,13,196.011,OUT019,1985,2,0,0,589.233,28,Food,4,1
FDB58,10.5,1,0.022590318,13,140.6154,OUT010,1998,2,2,0,283.6308,15,Food,0,1
FDH41,9,0,0.082011521,5,213.3534,OUT046,1997,2,0,1,1935.4806,16,Food,8,1
DRF23,4.61,0,0.122843005,7,172.4396,OUT049,1999,1,0,1,1569.9564,14,Drinks,9,0
FDE05,10.895,1,0.05432142,5,146.2102,OUT010,1998,2,2,0,437.4306,15,Food,0,1
FDY10,17.6,0,0.049144165,13,112.7176,OUT049,1999,1,0,1,1717.764,14,Food,9,1
FDS43,11.65,0,0.040577878,6,188.224,OUT049,1999,1,0,1,1304.968,14,Food,9,1
NCM30,19.1,0,0.067400032,9,41.9796,OUT049,1999,1,0,1,784.3124,14,Non-Consumable,9,2
FDY49,17.2,1,0.012036432,3,165.7184,OUT045,2002,2,1,1,1816.3024,11,Food,7,1
FDN02,16.5,0,0.073977473,3,206.8638,OUT045,2002,2,1,1,2070.638,11,Food,7,1
FDP37,15.6,0,0.143396175,2,128.0994,OUT045,2002,2,1,1,2184.4898,11,Food,7,1
NCF07,9,0,0.03201648,9,99.6016,OUT035,2004,2,1,1,1922.8304,9,Non-Consumable,6,2
FDJ09,15,0,0.058346234,13,44.0744,OUT013,1987,0,2,1,633.8416,26,Food,1,1
FDO23,17.85,0,0.14571827,1,94.3436,OUT027,1985,1,2,3,2269.0464,28,Food,5,1
FDH09,12.6,0,0.055806016,12,52.4982,OUT027,1985,1,2,3,1209.7586,28,Food,5,1
FDX34,6.195,0,0.072097449,13,119.3098,OUT049,1999,1,0,1,1205.098,14,Food,9,1
FDV60,20.2,1,0.117543713,0,197.311,OUT049,1999,1,0,1,3338.987,14,Food,9,1
FDE32,20.7,0,0.048718334,6,38.7506,OUT013,1987,0,2,1,227.7036,26,Food,1,1
NCI30,20.25,0,0.0591756,9,245.046,OUT018,2009,1,2,2,4680.574,4,Non-Consumable,3,2
FDS37,7.655,0,0.031918284,3,117.7492,OUT013,1987,0,2,1,695.0952,26,Food,1,1
FDC57,20.1,1,0.095587976,6,193.982,OUT019,1985,2,0,0,579.246,28,Food,4,1
DRC01,5.92,1,0.019308607,14,49.0692,OUT017,2007,2,1,1,1478.076,6,Drinks,2,0
DRD27,18.75,0,0.023974769,4,99.0042,OUT017,2007,2,1,1,694.4294,6,Drinks,2,0
FDI12,9.395,1,0.100602552,0,88.3856,OUT045,2002,2,1,1,703.0848,11,Food,7,1
FDQ33,13.35,0,0.091189915,13,149.3708,OUT035,2004,2,1,1,4514.124,9,Food,6,1
FDQ27,5.19,1,0.077480627,10,101.399,OUT019,1985,2,0,0,206.398,28,Food,4,1
NCB07,19.2,0,0.129731747,9,196.211,OUT010,1998,2,2,0,589.233,15,Non-Consumable,0,2
FDC08,19,1,0.103363904,6,226.172,OUT013,1987,0,2,1,3169.208,26,Food,1,1
FDD20,14.15,0,0.020714523,6,124.2046,OUT046,1997,2,0,1,2490.092,16,Food,8,1
FDS24,20.85,1,0.062212713,0,88.1514,OUT035,2004,2,1,1,1151.1682,9,Food,6,1
FDH34,8.63,0,0.031271134,13,186.0582,OUT017,2007,2,1,1,3900.9222,6,Food,2,1
NCX30,16.7,0,0.026729068,9,248.4776,OUT018,2009,1,2,2,6439.6176,4,Non-Consumable,3,2
FDM01,7.895,1,0.094567181,2,104.5332,OUT046,1997,2,0,1,1845.5976,16,Food,8,1
FDB20,7.72,0,0.05193741,6,77.9986,OUT013,1987,0,2,1,934.7832,26,Food,1,1
NCK29,5.615,0,0.126480422,8,121.573,OUT017,2007,2,1,1,3202.498,6,Non-Consumable,2,2
FDS11,7.05,1,0.055644887,1,224.9088,OUT049,1999,1,0,1,2684.5056,14,Food,9,1
NCV41,14.35,0,0.028519419,8,109.2228,OUT010,1998,2,2,0,221.0456,15,Non-Consumable,0,2
DRL60,8.52,0,0.027101431,14,151.7682,OUT049,1999,1,0,1,2439.4912,14,Drinks,9,0
FDV10,7.645,1,0.067083367,13,44.0112,OUT017,2007,2,1,1,596.5568,6,Food,2,1
FDV09,12.1,0,0.020652362,13,149.5734,OUT018,2009,1,2,2,2227.101,4,Food,3,1
FDQ39,14.8,0,0.081042136,10,192.4846,OUT046,1997,2,0,1,5159.2842,16,Food,8,1
DRE49,20.75,0,0.021336565,14,153.6024,OUT018,2009,1,2,2,1366.2216,4,Drinks,3,0
FDR45,10.8,0,0.029001987,13,238.6222,OUT045,2002,2,1,1,8604.7992,11,Food,7,1
DRJ23,18.35,0,0.069745165,7,190.2872,OUT010,1998,2,2,0,378.1744,15,Drinks,0,0
FDQ26,13.5,1,0.068148886,4,58.6562,OUT018,2009,1,2,2,711.0744,4,Food,3,1
NCA06,20.5,0,0.144094079,9,34.819,OUT017,2007,2,1,1,1061.951,6,Non-Consumable,2,2
FDT24,12.35,1,0.186616421,0,78.6328,OUT018,2009,1,2,2,1004.0264,4,Food,3,1
